Reference,Quantity,Value,Footprint,Manufacturer,MPN,
C1 C14 C16,3,C_4u7_0603,0603-cap,TDK,C1608X5R1V475M080AC,
C10 C11 C12 C13 C15 C17 C18 C8 C9,9,C_100n_0402_6V3,0402-cap,Walsin,0402X104K6R3CT,
C2 C5,2,C_10u_0603,0603-cap,AVX,06036D106MAT2A,
C3,1,C_100p_0402,0402-cap,WALSIN,0402N101J500CT,
C4,1,C_22u_0603,0603-cap,MURATA,GRM188R60J226MEA0D,
C6 C7,2,C_12p_0402,0402-cap,TDK,CGA2B2C0G1H120J050BA,
D1,1,MBR0520LT1G,SOD-123,MBR0520LT1G,ON,
D11 D3 D5,3,TPD2EUSB30DRTR,SOT-3,Texas,TPD2EUSB30DRTR,
D2,1,LG_L29K-G2J1-24-Z,LED_0603,LG,OSRAM,
D4,1,UHD1110-FKA,LED-RGB-5DS-UHD1110-FKA,Cree,UHD1110-FKA,
D6,1,SD05C.TCT,SOD-323,Semtec,SD05C.TCT,
IC1,1,EOS-S3,42-WLCSP,,,
J1,1,825437-4,TE_825437-4,825437-4,TE,
J2,1,1x12_pinhead,1x12_pinhead,,,
J3,1,1x16_pinhead,1x16_pinhead,,,
J4,1,S2B-PH-SM4-TB_LF__SN_,PinHeader_2x1mm_P2mm_SMD_RA,S2B-PH-SM4-TB(LF)(SN),JST,
J5,1,0473460001,USB_Micro_B_Female_0473460001,0473460001,Molex,
J6,1,FTSH-105-01-L-DV-K,PinHeader_2x5_P1.27_SMD,FTSH-105-01-L-DV-K,Samtec,
J7,1,22-23-2021,PinHeader_1x2_P2.54mm_Drill1.02mm,22-23-2021,Molex,
L1,1,DFE201610E-R47M=P2,0805-res,DFE201610E-R47M=P2,Murata,
MIC1,1,IM69D130,IM69D130,Infineon,IM69D130,
Q1 Q3 Q4 Q5,4,RV1C002UN,VML0806,RV1C002UN,Nch,
Q2,1,RV1C001ZP,VML0806,RV1C001ZP,Pch,
R1 R5,2,R_100k_0402,0402-res,VISHAY,CRCW0402100KFKEDHP,
R10 R14 R15 R19 R21 R23 R32 R34 R36 R37 R6 R8,13,R_10k_0402,0402-res,VISHAY,CRCW040210K0FKEDHP,
R11 R27 R28 R29 R7,5,R_22R_0402,0402-res,VISHAY,CRCW040222R0FKED,
R12 R17,2,R_100k_1%_0402,0402,PANASONIC,ERA-6AEB104V,
R13 R24 R26,3,R_100R_0402,0402-res,BOURNS,CR0402-FX-1000GLF,
R16,1,R_200k_0402,0402-res,YAGEO_(PHYCOMP),RC0402FR-07200KL,
R18 R20,2,R_4k7_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ2GEJ472X,
R2,1,R_5k11_0402,0402-res,WALSIN,WR04X5111FTL,
R25,1,R_220R_0402,0402-res,TE_CONNECTIVITY_/_NEOHM,CRG0402J220R,
R3,1,R_1k_0402,0402-res,BOURNS,CR0402-FX-1001GLF,
R30,1,EXB2HV220JV,R_Array_Convex_8x0602,EXB2HV220JV,Panasonic,
R35,1,R_0R_0402,0402-res,PANASONIC,ERJ2GE0R00X,
R4,1,R_453k_0402,0402-res,VISHAY,CRCW0402453KFKED,
R9,1,R_1k5_0402,0402-res,PANASONIC_ELECTRONIC_COMPONENTS,ERJ2RKF1501X,
S1 S2,2,KMR2,SW_SPST_4.2x2.8,KMR211NGLFS,C&K,
TP1 TP2 TP3 TP4 TP5 TP6 TP7,7,TP_SMD1MM,Testpoint_smd_1mm,N/A,N/A,
U1,1,TPS62821DLCR,QFN-8_2x1mm,Texas,TPS62821DLCR,
U2,1,MCP73831T-2ACI_OT,SOT-753,MCP73831T-2ACI/OT,Microchip,
U3,1,GD25Q16CWIGR,GD25Q16CWIG,GigaDevice,GD25Q16CWIGR,
U4,1,DPS310,PG-VLGA-8-2,Infineon,DPS310,
U5,1,MC3635,MC3635,mCube,MC3635,
X1,1,ECS-_327-12_5-34B-TR,SMD-2_3.2x1.5mm,ECS-.327-12.5-34B-TR,ECS,
